dataset	original_id	ensembl	symbol	mapping_source	duplicate_status	included	exclusion_reason
OKSA	ENSG00000011052	ENSG00000011052	NME1-NME2	ensembl_from_source	unique	True	
OKSA	ENSG00000011105	ENSG00000011105	TSPAN9	ensembl_from_source	unique	True	
OKSA	ENSG00000011114	ENSG00000011114	BTBD7	ensembl_from_source	unique	True	
OKSA	ENSG00000011132	ENSG00000011132	APBA3	ensembl_from_source	unique	True	
OKSA	ENSG00000011143	ENSG00000011143	MKS1	ensembl_from_source	unique	True	
OKSA	ENSG00000011198	ENSG00000011198	ABHD5	ensembl_from_source	unique	True	
OKSA	ENSG00000011243	ENSG00000011243	AKAP8L	ensembl_from_source	unique	True	
OKSA	ENSG00000011258	ENSG00000011258	MBTD1	ensembl_from_source	unique	True	
OKSA	ENSG00000011260	ENSG00000011260	UTP18	ensembl_from_source	unique	True	
OKSA	ENSG00000011275	ENSG00000011275	RNF216	ensembl_from_source	unique	True	
OKSA	ENSG00000011295	ENSG00000011295	TTC19	ensembl_from_source	unique	True	
OKSA	ENSG00000011304	ENSG00000011304	PTBP1	ensembl_from_source	unique	True	
OKSA	ENSG00000011332	ENSG00000011332	DPF1	ensembl_from_source	unique	True	
OKSA	ENSG00000011376	ENSG00000011376	LARS2	ensembl_from_source	unique	True	
OKSA	ENSG00000011405	ENSG00000011405	PIK3C2A	ensembl_from_source	unique	True	
OKSA	ENSG00000011422	ENSG00000011422	PLAUR	ensembl_from_source	unique	True	
OKSA	ENSG00000011426	ENSG00000011426	ANLN	ensembl_from_source	unique	True	
OKSA	ENSG00000011451	ENSG00000011451	WIZ	ensembl_from_source	unique	True	
OKSA	ENSG00000011454	ENSG00000011454	RABGAP1	ensembl_from_source	unique	True	
OKSA	ENSG00000011465	ENSG00000011465	DCN	ensembl_from_source	unique	True	
OKSA	ENSG00000011478	ENSG00000011478	QPCTL	ensembl_from_source	unique	True	
OKSA	ENSG00000011485	ENSG00000011485	PPP5C	ensembl_from_source	unique	True	
OKSA	ENSG00000011523	ENSG00000011523	CEP68	ensembl_from_source	unique	True	
OKSA	ENSG00000011566	ENSG00000011566	MAP4K3	ensembl_from_source	unique	True	
OKSA	ENSG00000011590	ENSG00000011590	ZBTB32	ensembl_from_source	unique	True	
OKSA	ENSG00000011600	ENSG00000011600	TYROBP	ensembl_from_source	unique	True	
OKSA	ENSG00000011638	ENSG00000011638	LDAF1	ensembl_from_source	unique	True	
OKSA	ENSG00000012048	ENSG00000012048	BRCA1	ensembl_from_source	unique	True	
OKSA	ENSG00000012061	ENSG00000012061	ERCC1	ensembl_from_source	unique	True	
OKSA	ENSG00000012124	ENSG00000012124	CD22	ensembl_from_source	unique	True	
OKSA	ENSG00000012171	ENSG00000012171	SEMA3B	ensembl_from_source	unique	True	
OKSA	ENSG00000012174	ENSG00000012174	MBTPS2	ensembl_from_source	unique	True	
OKSA	ENSG00000012211	ENSG00000012211	PRICKLE3	ensembl_from_source	unique	True	
OKSA	ENSG00000012223	ENSG00000012223	LTF	ensembl_from_source	unique	True	
OKSA	ENSG00000012232	ENSG00000012232	EXTL3	ensembl_from_source	unique	True	
OKSA	ENSG00000012660	ENSG00000012660	ELOVL5	ensembl_from_source	unique	True	
OKSA	ENSG00000012779	ENSG00000012779	ALOX5	ensembl_from_source	unique	True	
OKSA	ENSG00000012817	ENSG00000012817	KDM5D	ensembl_from_source	unique	True	
OKSA	ENSG00000012822	ENSG00000012822	CALCOCO1	ensembl_from_source	unique	True	
OKSA	ENSG00000012963	ENSG00000012963	UBR7	ensembl_from_source	unique	True	
OKSA	ENSG00000012983	ENSG00000012983	MAP4K5	ensembl_from_source	unique	True	
OKSA	ENSG00000013016	ENSG00000013016	EHD3	ensembl_from_source	unique	True	
OKSA	ENSG00000013275	ENSG00000013275	PSMC4	ensembl_from_source	unique	True	
OKSA	ENSG00000013288	ENSG00000013288	MAN2B2	ensembl_from_source	unique	True	
OKSA	ENSG00000013306	ENSG00000013306	SLC25A39	ensembl_from_source	unique	True	
OKSA	ENSG00000013364	ENSG00000013364	MVP	ensembl_from_source	unique	True	
OKSA	ENSG00000013374	ENSG00000013374	NUB1	ensembl_from_source	unique	True	
OKSA	ENSG00000013375	ENSG00000013375	PGM3	ensembl_from_source	unique	True	
