gene,positive_n,negative_n,positive_mean_z,negative_mean_z,delta_z,mw_p,bh_fdr,by_fdr,holm_fwer
RCL1,11,99,-0.04270000000000003,-0.1823181818181818,0.13961818181818175,0.618358059180073,0.8632421952928111,1.0,1.0
IFNGR1,11,99,-0.14713636363636365,0.016248484848484797,-0.16338484848484844,0.618358059180073,0.8632421952928111,1.0,1.0
PTK7,11,99,0.019472727272727287,-0.12200606060606062,0.1414787878787879,0.618358059180073,0.8632421952928111,1.0,1.0
WDFY4,11,99,-0.056736363636363654,0.10402424242424242,-0.16076060606060608,0.618358059180073,0.8632421952928111,1.0,1.0
PKD2,11,99,0.18487272727272727,0.061648484848484834,0.12322424242424243,0.618358059180073,0.8632421952928111,1.0,1.0
NARS2,11,99,0.05590909090909093,-0.09582929292929296,0.1517383838383839,0.618358059180073,0.8632421952928111,1.0,1.0
PKNOX2,11,99,-0.28493636363636365,-0.3691555555555555,0.08421919191919186,0.6187076217346333,0.8636790814083674,1.0,1.0
MIR517C,11,99,-0.8330272727272727,-0.7136828282828283,-0.11934444444444448,0.61875571750564,0.8636951110034348,1.0,1.0
LINC01874,11,99,-0.4971363636363637,-0.3487,-0.1484363636363637,0.6190026438760801,0.8639886615606608,1.0,1.0
NT5C1A,11,99,-0.21754545454545451,-0.18452323232323234,-0.033022222222222175,0.619057647883898,0.8640143127192731,1.0,1.0
AP4B1-AS1,11,99,-0.29289090909090904,-0.3215969696969697,0.02870606060606068,0.6192633031781292,0.8642502113217811,1.0,1.0
EYA2,11,99,-0.4148090909090909,-0.3284666666666667,-0.08634242424242422,0.6203851636545932,0.8657160833125302,1.0,1.0
MIR548U,11,99,-0.6151454545454548,-0.6208828282828284,0.005737373737373597,0.6203870448663978,0.8657160833125302,1.0,1.0
ACTL8,11,99,-0.41430909090909096,-0.3632676767676768,-0.051041414141414165,0.6206186617604988,0.8658848895419418,1.0,1.0
IGKV2-4,11,99,-0.6482727272727272,-0.6906282828282827,0.04235555555555548,0.6206200815648102,0.8658848895419418,1.0,1.0
MLNR,11,99,-0.42358181818181817,-0.36854848484848485,-0.05503333333333332,0.6206446751858126,0.8658848895419418,1.0,1.0
TNFRSF19,11,99,-0.5062181818181819,-0.17374343434343437,-0.33247474747474753,0.6206548366793002,0.8658848895419418,1.0,1.0
CLEC2L,11,99,-0.37360000000000004,-0.2968131313131313,-0.07678686868686874,0.6207673957757366,0.8659907076492979,1.0,1.0
MIR4688,11,99,-0.19558181818181816,-0.2502494949494949,0.054667676767676726,0.6208244357116007,0.8660190667871007,1.0,1.0
LRRC37A6P,11,99,-0.355490909090909,-0.3377565656565656,-0.017734343434343436,0.62107624204588,0.8663190959000893,1.0,1.0
ABCC11,11,99,-0.2590909090909091,-0.052657575757575736,-0.20643333333333336,0.6213263531978379,0.8665960500240305,1.0,1.0
TM4SF18,11,99,-0.5603636363636363,-0.5250686868686869,-0.03529494949494938,0.6213482657951018,0.8665960500240305,1.0,1.0
ANKRD18B,11,99,-0.2293181818181818,-0.2270616161616162,-0.0022565656565656234,0.621463545676935,0.8667055892709958,1.0,1.0
HSPA7,11,99,-0.13168181818181818,-0.10687070707070709,-0.02481111111111109,0.6218066432276217,0.8670710769595849,1.0,1.0
SHD,11,99,-0.10467272727272726,-0.010163636363636382,-0.09450909090909088,0.6218679260433844,0.8670710769595849,1.0,1.0
WDR35,11,99,-0.22251818181818184,0.07632727272727274,-0.2988454545454546,0.6218726388757616,0.8670710769595849,1.0,1.0
